model,train_accuracy,val_accuracy,test_accuracy,train_balanced_acc,val_balanced_acc,test_balanced_acc,train_f1,val_f1,test_f1
Logistic Regression,0.7140240711669283,0.7095761381475667,0.6952511773940345,0.7039672483186988,0.6975090079824289,0.6810778169473821,0.6921866342061518,0.6867365790767841,0.6710967537893169
Random Forest,0.7296572475143903,0.7258634222919937,0.7129120879120879,0.6968540224350699,0.6889274933569438,0.6772059987832421,0.6962360415700166,0.6897327293698283,0.6769150732054318
XGBoost,0.8589743589743589,0.7348901098901099,0.716248037676609,0.8171817510485424,0.6723867217678574,0.6498299872490436,0.8322917772266583,0.6807232991620298,0.6568624383091338
